"","species","latitude","longitude","date_obs","source","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","temp_mean","prec_mean","clouds_mean","fut_temp","ndvi_mean"
"947","Amanita muscaria",47.24337,7.33957,2022-10-11,"gbif",675,802,65,"Forest","Cool Temperate Moist",789,11.7666666666667,111.666666666667,44.1491666666667,9.75833333333338,0.623025
"948","Pinus mugo",46.68141,9.69361,2025-06-20,"gbif",606,806,52,"Forest","Cool Temperate Moist",1246,9.48333333333335,81.4166666666667,34.045,7.09166666666664,0.499958333333333
"949","Amanita muscaria",46.70367,7.34057,2022-10-11,"gbif",697,1164,55,"Forest","Cool Temperate Moist",1358,8.76666666666671,129.833333333333,38.6658333333333,6.41666666666669,0.504520833333333
"950","Amanita muscaria",46.83759,7.9302,2022-10-28,"gbif",724,1063,50,"Forest","Cool Temperate Moist",1291,8.82500000000005,148.833333333333,41.7841666666667,6.89166666666671,0.476070833333333
"951","Pinus sylvestris",46.8341705617,9.2585565077,2021-10-03,"inat",706,976,53,"Forest","Cool Temperate Moist",1321,9.03333333333336,130.333333333333,41.4716666666667,6.58333333333331,0.425408333333333
"952","Picea abies",46.83853,7.60249,2025-03-01,"gbif",620,866,49,"Forest","Cool Temperate Moist",697,12.6833333333333,110.5,37.0616666666667,10.6166666666667,0.698579166666667
"953","Amanita muscaria",46.216017,8.68109,2023-10-08,"gbif",661,679,58,"Forest","Cool Temperate Moist",884,12.7333333333333,111.25,33.5425,10.6583333333334,0.590779166666667
"954","Amanita muscaria",46.491451,6.925039,2023-10-01,"gbif",729,1159,58,"Forest","Cool Temperate Moist",1244,9.72500000000002,148.916666666667,39.2716666666667,7.81666666666672,0.6039125
"955","Amanita muscaria",46.585263,6.229743,2020-10-10,"gbif",721,994,59,"Forest","Cool Temperate Moist",1275,9.79166666666674,141.416666666667,43.9508333333333,8.5333333333333,0.5776125
"956","Pinus sylvestris",46.6704918751,6.4934322108,2021-08-02,"inat",691,762,59,"Forest","Cool Temperate Moist",574,13.4083333333334,98.0833333333333,38.3941666666667,12.1416666666667,0.673554166666667
"957","Picea abies",47.4186801106,9.0758994422,2025-05-30,"inat",593,902,61,"Forest","Cool Temperate Moist",571,12.7500000000001,113.166666666667,40.3958333333333,11.3166666666667,0.620345833333333
